delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation_.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,mouse.started,button.started,response.stopped,trials.textbox.text,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,400,unexp,20,8,1,space,0.02260549999482464,None,600,[0.041666666666666664],[-0.29],[1],[0],[0],[3.3013054999901215],1,[3.2858014999947045],[3.2858061000006273],1,8,20,0,132.32532849999552,,132.31112539999594,132.32532849999552,132.42563299999165,133.32529109998723,133.32529109998723,133.36122209999303,space,0.02260549999482464,None,133.36167269998987,133.47518746665835,133.7909740999894,133.77478809999593,133.77527129999362,133.7909740999894,133.7909740999894,0.00048049999168142676,133.7909740999894,137.07743129998562,600,[0.041666666666666664],[-0.29],[1],[0],[0],[3.3013054999901215],1,[3.2858014999947045],[3.2858061000006273],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.1,1000,exp,21,9,1,space,0.32492709999496583,None,150,[0.041666666666666664],[-0.29],[1],[0],[0],[3.1519240999914473],1,[3.136317800002871],[3.136322199992719],1,9,21,3,137.0915854999912,,137.07765549999021,137.0915854999912,137.19183179999527,138.09270179999294,138.09270179999294,138.42783559999953,space,0.32492709999496583,None,138.42869919999794,138.5419008666543,138.8576502999931,138.84150399999635,138.84184209999512,138.8576502999931,138.8576502999931,0.00034890000824816525,138.8576502999931,141.99445019999985,150,[0.041666666666666664],[-0.29],[1],[0],[0],[3.1519240999914473],1,[3.136317800002871],[3.136322199992719],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.4,400,unexp,22,10,1,space,0.42707099999825004,None,400,[0.041666666666666664],[-0.29],[1],[0],[0],[3.7852190999983577],1,[3.7693103999918094],[3.7693150999984937],1,10,22,1,142.00812869999208,,141.99469239999598,142.00812869999208,142.10814549999486,143.00812679999217,143.00812679999217,143.44471109998995,space,0.42707099999825004,None,143.44513519998873,143.85803826665895,144.17475409999315,144.15832439999213,144.15866459999233,144.17475409999315,144.17475409999315,0.000348299989127554,144.17475409999315,147.94477969998843,400,[0.041666666666666664],[-0.29],[1],[0],[0],[3.7852190999983577],1,[3.7693103999918094],[3.7693150999984937],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.7,1000,exp,23,11,1,space,0.405115499990643,None,500,[0.041666666666666664],[-0.29],[1],[0],[0],[2.232110200013267],1,[2.2186251999955857],[2.2186295999999857],1,11,23,11,147.95794529998966,,147.9452314999944,147.95794529998966,148.0581480999972,148.95818619999045,148.95818619999045,149.37896249999176,space,0.405115499990643,None,149.37950329999148,150.09107146665727,150.40751039999304,150.39351929999248,150.39383639999141,150.40751039999304,150.40751039999304,0.00032360000477638096,150.40751039999304,152.62667779999902,500,[0.041666666666666664],[-0.29],[1],[0],[0],[2.232110200013267],1,[2.2186251999955857],[2.2186295999999857],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.1,400,unexp,24,0,2,space,0.3996700999996392,None,300,[0.041666666666666664],[-0.29],[1],[0],[0],[2.986243799998192],1,[2.969705099996645],[2.9697097999887774],2,0,24,0,152.6410973999882,,152.62691699998686,152.6410973999882,152.74137009998958,153.64147989999037,153.64147989999037,154.04375259998778,space,0.3996700999996392,None,154.04417719999037,154.15784326666133,154.47452899999917,154.45742999999493,154.45777539999108,154.47452899999917,154.47452899999917,0.00035400000342633575,154.47452899999917,157.44481539999833,300,[0.041666666666666664],[-0.29],[1],[0],[0],[2.986243799998192],1,[2.969705099996645],[2.9697097999887774],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.7,1000,exp,25,1,2,space,0.556020100004389,None,700,[0.041666666666666664],[-0.29],[1],[0],[0],[2.362093999996432],1,[2.3526820999977645],[2.3526870000059716],2,1,25,11,157.457751799986,,157.44504549998965,157.457751799986,157.55796159998863,158.4584818999865,158.4584818999865,159.02796139998827,space,0.556020100004389,None,159.0286955999909,159.74161136665887,160.056892099994,160.04665679999744,160.04719539999496,160.056892099994,160.056892099994,0.0005547000037040561,160.056892099994,162.4101942999987,700,[0.041666666666666664],[-0.29],[1],[0],[0],[2.362093999996432],1,[2.3526820999977645],[2.3526870000059716],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.7,1000,exp,26,2,2,space,0.7652862000104506,None,200,[0.041666666666666664],[-0.29],[1],[0],[0],[2.3168943999917246],1,[2.3033512999973027],[2.3033561000047484],2,2,26,5,162.42425259998708,,162.41061709998758,162.42425259998708,162.52423499998986,163.42414009998902,163.42414009998902,164.19398979999823,space,0.7652862000104506,None,164.19440749999194,164.90826566666172,165.22378839999146,165.2095610999968,165.2100303999905,165.22378839999146,165.22378839999146,0.0004763000033563003,165.22378839999146,167.52771389999543,200,[0.041666666666666664],[-0.29],[1],[0],[0],[2.3168943999917246],1,[2.3033512999973027],[2.3033561000047484],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.4,400,unexp,27,3,2,space,0.19090849999338388,None,400,[0.041666666666666664],[-0.29],[1],[0],[0],[2.604395900008967],1,[2.585928900007275],[2.58593380000093],2,3,27,1,167.54075249999005,,167.52793449998717,167.54075249999005,167.64116469999135,168.54165769999963,168.54165769999963,168.74370459999773,space,0.19090849999338388,None,168.74414219999744,169.15764586665708,169.47396239999216,169.4549696999893,169.45529529999476,169.47396239999216,169.47396239999216,0.00033209999673999846,169.47396239999216,172.06055119998928,400,[0.041666666666666664],[-0.29],[1],[0],[0],[2.604395900008967],1,[2.585928900007275],[2.58593380000093],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.1,1000,exp,28,4,2,space,0.10459739998623263,None,300,[0.041666666666666664],[-0.29],[1],[0],[0],[2.1237071999930777],1,[2.104548099989188],[2.1045525999943493],2,4,28,9,172.0745309999911,,172.0607680999965,172.0745309999911,172.17477519999375,173.074025599999,173.074025599999,173.1946290999913,space,0.10459739998623263,None,173.1955103999935,173.30751686665852,173.6239368999959,173.60421119999955,173.60456509998767,173.6239368999959,173.6239368999959,0.00036240000918041915,173.6239368999959,175.72903999999107,300,[0.041666666666666664],[-0.29],[1],[0],[0],[2.1237071999930777],1,[2.104548099989188],[2.1045525999943493],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.1,1000,exp,29,5,2,space,0.06958840000152122,None,100,[0.041666666666666664],[-0.29],[1],[0],[0],[1.9012782000063453],1,[1.8867339999997057],[1.8867388000071514],2,5,29,6,175.74126379999507,,175.72927209999762,175.74126379999507,175.84086639998714,176.7413962999999,176.7413962999999,176.82712069999252,space,0.06958840000152122,None,176.8275544999924,176.94069076666008,177.2569220999867,177.24181419999513,177.24216479998722,177.2569220999867,177.2569220999867,0.00035790000401902944,177.2569220999867,179.14414379998925,100,[0.041666666666666664],[-0.29],[1],[0],[0],[1.9012782000063453],1,[1.8867339999997057],[1.8867388000071514],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
